Building,Assignment,Seller,OEM,Description,Procurement Status,Quantity Required,Quantity Ordered,Net Short Quantity,Extended Amount,Extended Amount Outstanding,Unit Price,L2 Labor Hours,L3 Labor Hours,L4 Labor Hours,L5 Labor Hours,L6 Labor Hours
F,DTO-F,GIGA ENERGY,GIGA ENERGY,GIGA ENERGY-2550KVA 18KV KNAN-TRANSFORMER,PO Issued,21,21,0,"$1,644,657 ",$0 ,"$78,317.00 ",,,,,
F,DTO-F,GIGA ENERGY,GIGA ENERGY,GIGA ENERGY-2550KVA 18KV KNAF-TRANSFORMER,PO Issued,10,10,0,"$939,810 ",$0 ,"$93,981.00 ",,,,,
F,DTO-F,JCI,JCI,JCI-500T-115-CHILLER,PO Issued,30,30,0,"$17,500,846 ",$0 ,"$583,361.53 ",,,,,
F,DTO-F,JCI,JCI,JCI-72K-FAN WALL,PO Issued,38,38,0,"$4,324,809 ",$0 ,"$113,810.76 ",,,,,
F,DTO-F,HYDRAQUIP,DANFOSS,"DANFOSS-2"" FD83-COUPLER",PO Issued,1200,1200,0,"$631,560 ",$0 ,$526.30 ,,,,,
F,DTO-F,MCG,MCFI,MCFI-IT-MODULE,PO Issued,21,21,0,"$29,542,127 ",$0 ,"$1,406,767.94 ",,,,,
F,DTO-F,MCG,MCFI,MCFI-MECH-MODULE,PO Issued,10,10,0,"$14,067,679 ",$0 ,"$1,406,767.94 ",,,,,
F,DTO-F,MCG,POINT EIGHT POWER,PEP-1.25MW CAT-SWITCHBOARD,PO Issued,4,4,0,"$1,463,799 ",$0 ,"$365,949.82 ",,,,,
F,DTO-F,SVL,AAON,AAON-RQA-011-DOAS,PO Issued,2,2,0,"$133,438 ",$0 ,"$66,718.75 ",,,,,
F,DTO-F,SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,PO Issued,8,8,0,"$77,686 ",$0 ,"$9,710.71 ",,,,,
F,DTO-F,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,2,2,0,"$145,600 ",$0 ,"$72,800.00 ",,,,,
F,DTO-F,T5,CAT,CAT-1.25MW-GENERATOR,PO Issued,8,8,0,"$6,621,459 ",$0 ,"$827,682.44 ",,,,,
F,DTO-F,TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,PO Issued,30,30,0,"$2,413,740 ",$0 ,"$80,458.00 ",,,,,
F,DTO-F,TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-30000 GAL VERTICAL-THERMAL STORAGE TANK,PO Issued,4,4,0,"$1,631,796 ",$0 ,"$407,949.00 ",,,,,
F,DTO-F,CERIO,DELTA,DELTA-800A-STS,PO Issued,72,72,0,"$6,670,800 ",$0 ,"$92,650.00 ",,,,,
F,DTO-F,CERIO,DELTA,DELTA-63A-PIU,PO Issued,72,72,0,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,,,,,
F-MMR,DTO-F-MMR,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,4,4,0,"$291,200 ",$0 ,"$72,800.00 ",,,,,
G,DTO-G,CERIO,DELTA,DELTA-1250KVA-UPS,PO Issued,42,42,0,"$14,822,260 ",$0 ,"$352,910.96 ",,,,,
G,DTO-G,CERIO,DELTA,DELTA-250KVA-UPS,PO Issued,30,30,0,"$3,570,304 ",$0 ,"$119,010.13 ",,,,,
G,DTO-G,CERIO,DELTA,DELTA-400A-BUSWAY,PO Issued,2,2,0,"$153,200 ",$0 ,"$76,600.24 ",,,,,
G,DTO-G,CERIO,DELTA,DELTA-600A-BUSWAY,PO Issued,16,16,0,"$1,225,604 ",$0 ,"$76,600.24 ",,,,,
G,DTO-G,CERIO,DELTA,DELTA-800A-BUSWAY,PO Issued,32,32,0,"$2,451,208 ",$0 ,"$76,600.24 ",,,,,
G,DTO-G,CERIO,DELTA,DELTA-63A-PIU,PO Issued,72,72,0,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,,,,,
G,DTO-G,CERIO,KOHLER,KOHLER-3MW-GENERATOR,PO Issued,2,2,0,"$1,125,346 ",$0 ,"$562,672.88 ",,,,,
G,DTO-G,EAE,EAE,EAE-4000A-RESERVE BUSDUCT,PO Issued,1095,1095,0,"$1,020,540 ",$0 ,$932.00 ,,,,,
G,DTO-G,EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,PO Issued,72,72,0,INCLUDED IN RBUS,INCLUDED IN RBUS,INCLUDED IN RBUS,,,,,
G,DTO-G,GIGA ENERGY,GIGA ENERGY,GIGA ENERGY-2550KVA 18KV KNAN-TRANSFORMER,PO Issued,21,21,0,"$1,644,657 ",$0 ,"$78,317.00 ",,,,,
G,DTO-G,GIGA ENERGY,GIGA ENERGY,GIGA ENERGY-2550KVA 18KV KNAF-TRANSFORMER,PO Issued,10,10,0,"$939,810 ",$0 ,"$93,981.00 ",,,,,
G,DTO-G,JCI,JCI,JCI-500T-115-CHILLER,PO Issued,30,30,0,"$17,500,846 ",$0 ,"$583,361.53 ",,,,,
G,DTO-G,JCI,JCI,JCI-72K-FAN WALL,PO Issued,38,38,0,"$4,324,809 ",$0 ,"$113,810.76 ",,,,,
G,DTO-G,MCG,KOHLER,KOHLER-2.8MW-GENERATOR,PO Issued,1,1,0,"$1,470,000 ",$0 ,"$1,470,000.00 ",,,,,
G,DTO-G,MCG,MCFI,MCFI-IT-MODULE,PO Issued,21,21,0,"$29,542,127 ",$0 ,"$1,406,767.94 ",,,,,
G,DTO-G,MCG,MCFI,MCFI-MECH-MODULE,PO Issued,10,10,0,"$14,067,679 ",$0 ,"$1,406,767.94 ",,,,,
G,DTO-G,MCG,POINT EIGHT POWER,PEP-1.25MW CAT-SWITCHBOARD,PO Issued,1,1,0,"$365,950 ",$0 ,"$365,949.82 ",,,,,
G,DTO-G,SVL,AAON,AAON-RQA-011-DOAS,PO Issued,2,2,0,"$133,438 ",$0 ,"$66,718.75 ",,,,,
G,DTO-G,SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,PO Issued,4,4,0,"$38,843 ",$0 ,"$9,710.71 ",,,,,
G,DTO-G,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,2,2,0,"$145,600 ",$0 ,"$72,800.00 ",,,,,
G,DTO-G,HYDRAQUIP,DANFOSS,"DANFOSS-2"" FD83-COUPLER",PO Issued,1200,1200,0,"$631,560 ",$0 ,$526.30 ,,,,,
G,DTO-G,T5,CAT,CAT-1.25MW-GENERATOR,PO Issued,2,2,0,"$1,655,365 ",$0 ,"$827,682.44 ",,,,,
G,DTO-G,TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,PO Issued,30,30,0,"$2,413,740 ",$0 ,"$80,458.00 ",,,,,
